,Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Local Authority Description,Phone No.,Principal Name,Email,Eircode,Gaeltacht Indicator (Y/N),DEIS (Y/N),Island (Y/N),Irish Classification Description,Ethos Description,Female,Male,Total,appended_address,latitude,longitude
197,19314E,SCOIL NA MAIGHDINE MHUIRE BOY,Broadford Rise,Ballinteer,Dublin 16,,Dublin,Dun Laoghaire Rathdown,14946647,Colette Howlett (Acting Principal),info@olbns.com,D16CX60,N,N,N,No subjects through Irish,Catholic,,283.0,283,D16CX60,53.2752359,-6.2580114
198,19319O,ST Olaf's National School,Balally Drive,Dundrum,Dublin 16,,Dublin,Dun Laoghaire Rathdown,12956513,Ger Murphy,olaf.info@gmail.com,D16E067,N,N,N,No subjects through Irish,Catholic,229.0,280.0,509,D16E067,53.2825583,-6.2264008
199,19320W,OUR LADY OF GOOD COUNSEL BOYS N S,Johnstown,Dún Laoghaire,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12851449,Neil Cadogan,johnstownbns@olgc.ie,A96AF10,N,N,N,No subjects through Irish,Catholic,,402.0,402,A96AF10,53.2645998,-6.1386454
200,19321B,OUR LADY GOOD COUNSEL GNS,Woodley Road,Johnstown,Dun Laoghaire,Co. Dublin,Dublin,Dun Laoghaire Rathdown,12853775,Caroline Quinn,office@johnstowngns.ie,A96A033,N,N,N,No subjects through Irish,Catholic,436.0,10.0,446,A96A033,53.2638968,-6.138983199999999
201,19335M,SCOIL NA AINGEAL,Newtownpark AVenue,Blackrock,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12833961,Pádraig Ó Néill,info@guardianangels.ie,A94H395,N,N,N,No subjects through Irish,Catholic,243.0,198.0,441,A94H395,53.29250649999999,-6.1714629
202,19374W,Our lady's Grove Primary School,"Goatstown Road,",Dublin 14,,,Dublin,Dun Laoghaire Rathdown,12988694,Anne Kernan,annekernan@olgps.ie,D14Y993,N,N,N,No subjects through Irish,Catholic,218.0,221.0,439,D14Y993,53.3007117,-6.2340861
203,19390U,ST MARKS SEN NS,Springfield,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14513138,Richard Walsh,secretary@saintmarksns.ie,D24FV07,N,N,N,No subjects through Irish,Catholic,272.0,257.0,529,D24FV07,53.287088,-6.3872912
204,19393D,MHUIRE IOSEF JUNIOR,"Verbena Avenue,",Sutton,Dublin 13,,Dublin,Fingal County Council,18326524,Elizabeth Madigan,notices@baysidejunior.ie,D13CD56,N,N,N,No subjects through Irish,Catholic,210.0,199.0,409,D13CD56,53.3892091,-6.1473678
205,19395H,SCOIL MOBHI,Bóthar Mobhí,Glasnaíon,Baile Átha Cliath 9,,Dublin,Dublin City Council,18379591,Marcella Nic Niallaigh,oifig@scoilmobhi.ie,D09A303,N,N,N,All subjects through Irish,Catholic,118.0,136.0,254,D09A303,53.3734548,-6.263206100000001
206,19396J,NA MAIGHDINE MUIRE GIRL,Ballinteer,Dublin 16,,,Dublin,Dun Laoghaire Rathdown,14930736,Yvonne Lane,info@ourladysgns.ie,D16C820,N,N,N,No subjects through Irish,Catholic,297.0,,297,D16C820,53.2750241,-6.2579912
207,19400U,SN GLEANN NA GCAORACH INÍON LÉINÍN,Wyvern,Killiney,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12856011,Sarah Honner,info@gkns.ie,A96P585,N,N,N,No subjects through Irish,Church Of Ireland,110.0,122.0,232,A96P585,53.26943139999999,-6.115773
208,19406J,HOLY TRINITY SEN N S,Grange Road,Donaghmede,Dublin 13,,Dublin,Dublin City Council,18474695,David Henry,htnsoffice@eircom.net,D13WY00,N,N,N,No subjects through Irish,Catholic,178.0,203.0,381,D13WY00,53.3965438,-6.1612917
209,19430G,SCOIL AN TSEACHTAR LAOCH,Bóthar Bhaile Munna,Baile Átha Cliath 11,,,Dublin,Dublin City Council,18425725,Deirdre Ní Chonghaile,7laoch.ias@eircom.net,D11E306,N,Y,N,All subjects through Irish,Catholic,101.0,96.0,197,D11E306,,
210,19431I,ST JOSEPHS JNR,St Joseph's Junior National School,Balbutcher Lane,Ballymun,Dublin 11,Dublin,Dublin City Council,18421801,Jennie McGee,stjosjun@eircom.net,D11ND82,N,Y,N,No subjects through Irish,Catholic,66.0,88.0,154,D11ND82,53.4013335,-6.2705818
211,19435Q,ST FRANCIS XAVIER J N S,Roselawn Road,Castleknock,Dublin 15,,Dublin,Fingal County Council,18210892,Heidi Collins,sfxjns1@eircom.net,D15CX84,N,N,N,No subjects through Irish,Catholic,214.0,199.0,413,D15CX84,53.3833773,-6.383233
212,19437U,SCOIL NAITHI,Bóthar Átha Leathan,Baile an tSaoir,Baile Átha Cliath 16,,Dublin,Dun Laoghaire Rathdown,12981931,Paula Ní Uigín,oifig@scoilnaithi.com,D16EK63,N,N,N,All subjects through Irish,Catholic,114.0,123.0,237,D16EK63,53.282278,-6.261533699999999
213,19438W,SCOIL COLMCILLE SENIOR,Coolevin,Ballybrack,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12855527,Aidan Boyle,cholmsenior@gmail.com,A96TN32,N,Y,N,No subjects through Irish,Catholic,66.0,75.0,141,A96TN32,53.25471659999999,-6.1346006
214,19446V,SCOIL MHUIRE BOYS,Grange Road,Rathfarnham,Dublin 14,,Dublin,South Dublin County Council,14931477,Edward O'Riordan,secretary@marysbns.ie,D14P046,N,N,N,No subjects through Irish,Catholic,,444.0,444,D14P046,53.29481579999999,-6.2838866
215,19454U,DARNDALE NS JUNIOR,OUR LADY IMMAC JUN NS,DARNDALE,MALAHIDE ROAD,DUBLIN 17,Dublin,Dublin City Council,18476643,Margaret Hughes,ddalejnr@eircom.net,D17TR25,N,Y,N,No subjects through Irish,Catholic,104.0,109.0,213,D17TR25,53.401339,-6.193453
216,19456B,ST CRONANS JUNIOR NATIONAL SCHOOL,Brackenstown,Swords,Co. Dublin,,Dublin,Fingal County Council,18402194,Edel Moloney,info@stcronansjns.ie,K67DP28,N,N,N,No subjects through Irish,Catholic,265.0,279.0,544,K67DP28,53.459094,-6.2364494
217,19462T,SCOIL MAELRUAIN JUNIOR,Old Bawn,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14513967,Mairéad Ryan,scoilmaelruainjunior@gmail.com,D24T854,N,N,N,No subjects through Irish,Catholic,184.0,227.0,411,D24T854,53.2780311,-6.3629769
218,19463V,SCOIL MAELRUAIN SENIOR,Old Bawn,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14510706,Caitriona Hogan,smsinsear@yahoo.ie,D24EV18,N,N,N,No subjects through Irish,Catholic,207.0,237.0,444,D24EV18,53.27782389999999,-6.3625897
219,19465C,ST KEVINS BOYS,Kilnamanagh,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14517925,James Murray,marion@stkevinsboys.ie,D24A2XF,N,N,N,No subjects through Irish,Catholic,,334.0,334,D24A2XF,53.3006067,-6.357688
220,19466E,ST KEVINS GIRLS,Kilnamanagh,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14517981,Miriam Dignam,info@stkevinsgns.com,D24R6PT,N,N,N,No subjects through Irish,Catholic,296.0,,296,D24R6PT,53.3013095,-6.358682099999999
221,19470S,ST FRANCIS XAVIER SENIOR N S,Roselawn,Castleknock,Dublin 15,,Dublin,Fingal County Council,18211121,Adrienne Darby,sfxseniorschool@eircom.net,D15WY02,N,N,N,No subjects through Irish,Catholic,147.0,213.0,360,D15WY02,53.382631,-6.3832419
222,19471U,ST PAULS JUNIOR NATIONAL SCHOOL,Clonrosse Drive,Ard na Gréine,Dublin 13,,Dublin,Dublin City Council,18470479,Elaine McNulty,ayrfieldjns@eircom.net,D13PK10,N,N,N,No subjects through Irish,Catholic,125.0,101.0,226,D13PK10,53.3949633,-6.183629700000001
223,19472W,ST MARKS JUNIOR MIXED,Springfield,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14512076,Deirdre Ní Bhroin,info@stmarksjs.ie,D24FT95,N,N,N,No subjects through Irish,Catholic,245.0,261.0,506,D24FT95,53.2869427,-6.386852699999999
224,19473B,SCOIL BHRIDE,Grange Road,Donaghmede,Dublin 13,,Dublin,Dublin City Council,18470014,Áine Dillon,office@scoilbhridejns.com,D13NY53,N,N,N,No subjects through Irish,Catholic,218.0,192.0,410,D13NY53,53.39717959999999,-6.1611094
225,19474D,SCOIL COLMCILLE NAOFA,Idrone Avenue,Knocklyon,Dublin 16,,Dublin,South Dublin County Council,14947422,David Curtin,office@ccjns.ie,D16H337,N,N,N,No subjects through Irish,Catholic,379.0,409.0,788,D16H337,53.2841101,-6.316290599999999
226,19480V,ST PATRICKS,St Patrick's Close,Dublin 8,,,Dublin,Dublin City Council,14540588,Jennifer McCormack,choirsch.ias@eircom.net,D08WK19,N,N,N,No subjects through Irish,Church Of Ireland,14.0,20.0,34,D08WK19,,
227,19489Q,SN NAOMH FINNIN,Glenties Park,Rivermount,Finglas South,Dublin 11,Dublin,Dublin City Council,18341130,Janet O' Donnell (Acting),saintfinians@gmail.com,D11WN70,N,Y,N,No subjects through Irish,Catholic,109.0,140.0,249,D11WN70,53.38061080000001,-6.3121104
228,19490B,SCOIL MHUIRE,Glenmore Court,Ballyboden,Dublin 16,,Dublin,South Dublin County Council,14931967,Owen McLoughlin,omcloughlin@hotmail.com,D16V043,N,Y,N,No subjects through Irish,Catholic,118.0,110.0,228,D16V043,53.2793709,-6.2893403
229,19494J,BISHOP GALVIN NS,Orwell Park,Templeogue,Dublin 6w,,Dublin,South Dublin County Council,14566652,Kathryn Corbett,secretary@bishopgalvin.ie,D6WY791,N,N,N,No subjects through Irish,Catholic,243.0,243.0,486,D6WY791,53.2980668,-6.3186409
230,19496N,SCOIL FHIACHRA SOISIR,Montrose Park,Artane,Dublin 5,,Dublin,Dublin City Council,18472367,Áine Carberry,fiachrajunior76@yahoo.com,D05W248,N,N,N,No subjects through Irish,Catholic,330.0,322.0,652,D05W248,53.3877539,-6.226295599999999
231,19497P,SCOIL MHUIRE,Rathsallagh,Shankill,Dublin 18,,Dublin,Dun Laoghaire Rathdown,12823507,Patricia Slavin,scoilmhuireshankill@gmail.com,D18FT91,N,Y,N,No subjects through Irish,Catholic,149.0,175.0,324,D18FT91,53.2362038,-6.1218925
232,19502F,SCOIL AENGHUSA JUN NS,Balrothery,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14513912,Ann Marie Blake,aonghusajnr.ias@scoilaonghusajnr.com,D24YN34,N,Y,N,No subjects through Irish,Catholic,107.0,107.0,214,D24YN34,53.2930486,-6.345384999999999
233,19503H,SCOIL CHRONAIN,An tSráid Mhór,Ráth Cúil,Co. Átha Cliath,,Dublin,South Dublin County Council,14588889,Siobhán Mhic Gearailt,oifig@scoilchronain.ie,D24YW81,N,N,N,All subjects through Irish,Catholic,202.0,207.0,409,D24YW81,53.281783,-6.467741999999999
234,19505L,SN OILIBHEIR,An Chúil Mhín,Cluain Saileach,Baile Átha Cliath 15,,Dublin,Fingal County Council,18215277,Antóin Ó Cléirigh,priomhoide.scoil.oilibheir@gmail.com,D15PX99,N,N,N,All subjects through Irish,Catholic,133.0,133.0,266,D15PX99,53.3873745,-6.3978015
235,19509T,SCOIL NANO NAGLE,Bawnogue Road,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,14571306,Damien Burke,nanonagleinfo2@gmail.com,D22VF68,N,Y,N,No subjects through Irish,Catholic,146.0,159.0,305,D22VF68,53.32617030000001,-6.4134148
236,19510E,TALBOT SENIOR NS,Bawnoge,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,14571226,Loyola Madden,talbotsns@hotmail.com,D22RT44,N,Y,N,No subjects through Irish,Catholic,149.0,146.0,295,D22RT44,53.3260955,-6.4131541
237,19515O,SN NAOMH TREASA,Hampton,Balbriggan,Co. Dublin,,Dublin,Fingal County Council,18416270,Killian O'Mahony,adminstteresasps@gmail.com,K32E925,N,Y,N,No subjects through Irish,Catholic,220.0,221.0,441,K32E925,53.6035536,-6.174016099999999
238,19524P,OUR LADY IMMAC SEN N S,OUR LADY IMMAC SEN NS,DARNDALE,DUBLIN 17,,Dublin,Dublin City Council,18470749,DERMOT AMPHLETT,darndalesns@gmail.com,D17CK81,N,Y,N,No subjects through Irish,Catholic,104.0,89.0,193,D17CK81,53.4018005,-6.193408499999999
239,19533Q,S N MUIRE AGUS IOSEF,Verbena Ave,Bayside,Sutton,Dublin 13,Dublin,Fingal County Council,18393682,Janet Lynch,baysidesns@gmail.com,D13EK83,N,N,N,No subjects through Irish,Catholic,194.0,237.0,431,D13EK83,53.38955679999999,-6.1471276
240,19535U,BRACKENSTOWN SENIOR N S,Brackenstown Road,Swords,Co. Dublin,,Dublin,Fingal County Council,18403488,Loreto Desmond,stcronanssns@eircom.net,K67CH99,N,N,N,No subjects through Irish,Catholic,277.0,349.0,626,K67CH99,53.4588966,-6.235488999999999
241,19537B,ST ATTRACTAS JUNIOR N S,Meadowbrook,Dundrum,Dublin 16,,Dublin,Dun Laoghaire Rathdown,12984352,Thomas Neary,stattractasjns@gmail.com,D16P891,N,N,N,No subjects through Irish,Catholic,147.0,196.0,343,D16P891,53.2809143,-6.2563211
242,19538D,ST KEVINS JUNIOR N S,Newbrook Avenue,Donaghmede,Dublin 13,,Dublin,Dublin City Council,18475969,Orlagh Leonard,stkevinsjns@gmail.com,D13DK88,N,N,N,No subjects through Irish,Catholic,87.0,110.0,197,D13DK88,53.3965638,-6.1578348
243,19541P,BELGARD HEIGHTS N S,Cookstown Road,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14517134,Eddie Kelly,solaschriost@gmail.com,D24C621,N,N,N,No subjects through Irish,Catholic,200.0,204.0,404,D24C621,53.298351,-6.3857149
244,19542R,ST THOMAS JUNIOR NATIONAL SCHOOL,Newcastle Road,Lucan,Co. Dublin,,Dublin,South Dublin County Council,16282691,Michael Maher,stns.ias@eircom.net,K78PF57,N,N,N,No subjects through Irish,Catholic,288.0,281.0,569,K78PF57,53.3486632,-6.4489917
245,19543T,SCOIL N AN CROI RO NAOFA,Killinarden,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14524811,Gerry Diver,secretary@sacredheartsns.net,D24K528,N,Y,N,No subjects through Irish,Catholic,142.0,126.0,268,D24K528,53.27647289999999,-6.3819672
246,19545A,CORDUFF N S,Blackcourt Road,Corduff,Blanchardstown,Dublin 15,Dublin,Fingal County Council,18211546,Áine Kirwan,stpatricksj.ias@eircom.net,D15KD21,N,Y,N,No subjects through Irish,Catholic,101.0,103.0,204,D15KD21,53.39882890000001,-6.375908300000001
247,19546C,ST OLIVER PLUNKETT N S,St Helena's Drive,Finglas,Dublin 11,,Dublin,Dublin City Council,18344678,Aoife Kavanagh,info@stoliverplunkettsfinglas.ie,D11XA46,N,Y,N,No subjects through Irish,Catholic,72.0,70.0,142,D11XA46,53.3818496,-6.2997749
248,19549I,ST FINTANS NS,Carrickbrack Road,Sutton,Dublin 13,,Dublin,Fingal County Council,18391067,Ciarán Caulfield,info@stfintansns.ie,D13X528,N,N,N,No subjects through Irish,Catholic,235.0,235.0,470,D13X528,53.3803756,-6.0951549
249,19556F,ST KILIANS JUNIOR SCHOOL,Kingswood Heights,Castleview,Tallaght,Dublin 24,Dublin,South Dublin County Council,14521009,Catherine Sweeney,Principal@stkiliansjns.ie,D24H303,N,N,N,No subjects through Irish,Catholic,144.0,130.0,274,D24H303,53.3068879,-6.3695086
250,19565G,SCOIL TREASA FIRHOUSE,Ballycullen Avenue,Firhouse,Dublin 24,,Dublin,South Dublin County Council,14513141,Gerard O'Meara,admin@scoiltreasa.ie,D24E985,N,N,N,No subjects through Irish,Catholic,227.0,204.0,431,D24E985,53.2808006,-6.3390175
251,19566I,OUR LADY QUEEN OF APOSTLES,Dunawley Avenue,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,14573636,John Murphy,handp1@eircom.net,D22X729,N,Y,N,No subjects through Irish,Catholic,262.0,283.0,545,D22X729,53.3266275,-6.401258200000001
252,19569O,NEILLSTOWN N S,Neillstown Road,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,14572811,Laura Hannon,info@stpeterapostlejns.ie,D22AK09,N,Y,N,No subjects through Irish,Catholic,143.0,154.0,297,D22AK09,53.3369094,-6.4009192
253,19574H,MARLEY GRANGE NS,Grange Manor Close,Marley Grange,Rathfarnham,Dublin 16,Dublin,South Dublin County Council,14945955,John Williams,divinewordschool@gmail.com,D16FF62,N,N,N,No subjects through Irish,Catholic,239.0,257.0,496,D16FF62,53.2840789,-6.273255499999999
254,19575J,ST MARYS JUNIOR N S,Rowlagh,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,16263266,Patrick McCabe,office@stmarysjunior.ie,D22H504,N,Y,N,No subjects through Irish,Catholic,112.0,108.0,220,D22H504,53.3433686,-6.395150399999999
255,19576L,S N AENGHUSA,SCOIL N AENGHUSA SIN,BALROTHERY,TALLAGHT,DUBLIN 24,Dublin,South Dublin County Council,14518984,Michele Hamilton,aengusa@hotmail.com,D24PXW8,N,Y,N,No subjects through Irish,Catholic,137.0,96.0,233,D24PXW8,53.2925558,-6.3459582
256,19577N,SCOIL IOSA,Tymon Road,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14520800,Oonagh Branniff,scoiliosa@gmail.com,D24ND34,N,Y,N,No subjects through Irish,Catholic,61.0,58.0,119,D24ND34,53.2952066,-6.3405703
257,19578P,ST HELENS JUNIOR N S,Martello,Portmarnock,Co. Dublin,,Dublin,Fingal County Council,18461763,Lorna M Lavin,secretary@sthelensjunior.com,D13KP93,N,N,N,No subjects through Irish,Catholic,166.0,191.0,357,D13KP93,53.4389942,-6.1358076
258,19582G,ST MAELRUAINS N S,Kilclare Avenue,Jobstown,Tallaght,Dublin 24,Dublin,South Dublin County Council,14527933,Tadhg O'Lionaird,stmaelruainss@gmail.com,D24YD74,N,Y,N,No subjects through Irish,Church Of Ireland,35.0,43.0,78,D24YD74,53.2824701,-6.392141899999999
259,19583I,ST JOSEPHS SENIOR N S,Balcurris Road,Ballymun,Dublin 11,,Dublin,Dublin City Council,18422600,Philip Fitzgerald,balcurrisns@gmail.com,D11HY03,N,Y,N,No subjects through Irish,Catholic,69.0,69.0,138,D11HY03,53.4013646,-6.271908400000001
260,19589U,GAELSCOIL INSE CHOR,Droichead ns hInse,Baile Átha Cliath 8,,,Dublin,Dublin City Council,16796748,Colm Ó Nualláin,priomhoidegsic@gmail.com,D08NR26,N,N,N,All subjects through Irish,Catholic,132.0,109.0,241,D08NR26,53.3440411,-6.311833999999999
261,19601H,ST PHILIP THE APOSTLE JUNIOR N S,Mountview,Clonsilla,Dublin 15,,Dublin,Fingal County Council,18212992,Jane O'Connell,philip.the.apostle.jns@gmail.com,D15V124,N,Y,N,No subjects through Irish,Catholic,124.0,136.0,260,D15V124,53.3898947,-6.4067928
262,19605P,SCOIL NAIS MHUIRE SOIS,Blakestown,Mulhuddart,Dublin 15,,Dublin,Fingal County Council,18216916,Charlotte Hughes,smjblakestown@gmail.com,D15F293,N,Y,N,No subjects through Irish,Catholic,124.0,133.0,257,D15F293,53.39753779999999,-6.400976399999999
263,19611K,SCOIL NAOMH COLMCILLE,Newbrook Road,Donaghmede,Dublin 13,,Dublin,Dublin City Council,18477300,Annette O'Brien,principal@scholmcille.com,D13XP49,N,N,N,No subjects through Irish,Catholic,99.0,118.0,217,D13XP49,53.3967797,-6.159140499999999
264,19612M,DALKEY SCHOOL PROJECT,GLENAGEARY LODGE,GLENAGEARY,CO DUBLIN,,Dublin,Dun Laoghaire Rathdown,12857199,Miriam Hurley,info@dspns.ie,A96RX32,N,N,N,No subjects through Irish,Multi Denominational,132.0,104.0,236,A96RX32,53.2747608,-6.1330205
265,19613O,SCOIL CNOC MHUIRE SIN,Knockmore Avenue,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14512347,Orla Hanahoe,mail@cmsenior.com,D24TF65,N,Y,N,No subjects through Irish,Catholic,70.0,101.0,171,D24TF65,53.2758084,-6.391843199999999
266,19617W,ST MARTIN DE PORRES N S,Heatherview Lawn,Aylesbury,Tallaght,Dublin 24,Dublin,South Dublin County Council,14511319,Valerie O'Loughlin,smdpnsoffice@gmail.com,D24HF54,N,N,N,No subjects through Irish,Catholic,191.0,220.0,411,D24HF54,53.2750581,-6.3715116
267,19618B,ST PAULS SEN NS,AYRFIELD,MALAHIDE RD,DUBLIN 13,,Dublin,Dublin City Council,18472810,Séan Ó Seaghdha,office@stpauls-sns.com,D13DD74,N,N,N,No subjects through Irish,Catholic,97.0,136.0,233,D13DD74,53.3952276,-6.183669999999999
268,19619D,ST MALACHYS NS,St. Helena's Road,FINGLAS,DUBLIN 11,,Dublin,Dublin City Council,18345875,Eoin Dolan,stmalachysmns@gmail.com,D11Y880,N,Y,N,No subjects through Irish,Catholic,77.0,71.0,148,D11Y880,53.38238759999999,-6.2997998
269,19624T,SCOIL NAIS CAITRIONA,The Avenue,Rush,Co. Dublin,,Dublin,Fingal County Council,18438266,Gerard O'Shea,secretary@stcatherinesns.ie,K56TY32,N,N,N,No subjects through Irish,Catholic,152.0,182.0,334,K56TY32,53.5350471,-6.099188
270,19625V,Scoil Réalt na Mara,Balbriggan Road,Skerries,Co. Dublin,,Dublin,Fingal County Council,18490049,Máire Ní Odhráin,eolas@realtnamara.ie,K34VW10,N,N,N,No subjects through Irish,Catholic,209.0,199.0,408,K34VW10,53.5803144,-6.120697799999999
271,19627C,JOHN PAUL II N S,Sea Road,Malahide,Co. Dublin,,Dublin,Fingal County Council,18450736,Steve Prendergast,info@pjp.ie,K36P796,N,N,N,No subjects through Irish,Catholic,363.0,373.0,736,K36P796,53.454049,-6.1691864
272,19628E,ST FIACHRAS SEN N S,St. Fiachras SNS,Montrose Park,Beaumont,Dublin 5,Dublin,Dublin City Council,18477762,Kieran Creaner,secretary@fiachras.ie,D05K3C3,N,N,N,No subjects through Irish,Catholic,363.0,361.0,724,D05K3C3,53.3876711,-6.224401299999999
273,19636D,ST PATRICKS SENIOR SCHOOL,CORDUFF,BLANCHARDSTOWN,DUBLIN 15,,Dublin,Fingal County Council,18216563,MARY O'RIORDAN,patcord2019@gmail.com,D15W261,N,Y,N,No subjects through Irish,Catholic,110.0,116.0,226,D15W261,53.3989098,-6.3769981
274,19641T,SCOIL CHOLMCILLE JUNIOR NS,Coolevin,Ballybrack,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12848899,Irene Connor,cholmjnr@gmail.com,A96FA40,N,Y,N,No subjects through Irish,Catholic,75.0,91.0,166,A96FA40,53.2542921,-6.134727700000001
275,19642V,ST PETER APOSTLE SEN NS,Neilstown,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,14572799,Sophia O'Hara,info@stpeterapostlesns.ie,D22WR59,N,Y,N,No subjects through Irish,Catholic,142.0,148.0,290,D22WR59,53.3369119,-6.402101399999999
276,19643A,ST PHILIPS SENIOR N S,Mountview Road,Clonsilla,Dublin 15,,Dublin,Fingal County Council,18216101,Paula Dargan,stphilipsenior@yahoo.ie,D15RC56,N,Y,N,No subjects through Irish,Catholic,149.0,156.0,305,D15RC56,53.3896639,-6.4071221
277,19644C,ST CIARANS N S,Hartstown,Dublin 15,,,Dublin,Fingal County Council,18212233,Tadhg MacAmhlaoibh,principal@stciarans.com,D15ED83,N,N,N,No subjects through Irish,Catholic,311.0,348.0,659,D15ED83,53.3937754,-6.4207611
278,19646G,SCOIL SANTAIN,Bóthar na hAbhann Móire,Tamhlacht,Baile Átha Cliath 24,,Dublin,South Dublin County Council,14597613,Eamon Ó Déagha,santain.ias@eircom.net,D24TW35,N,Y,N,All subjects through Irish,Catholic,189.0,141.0,330,D24TW35,53.284146,-6.347512
279,19647I,ST MARYS SEN N S,ROWLAGH,CLONDALKIN,DUBLIN 22,,Dublin,South Dublin County Council,16262563,Maura Forde,stmarysrowlagh@gmail.com,D22WN40,N,Y,N,No subjects through Irish,Catholic,104.0,116.0,220,D22WN40,53.3428895,-6.3963126
280,19652B,AN CHROI RO NAOFA SOIS,Killinarden,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14524064,Martin Morris,admin@shjkillinarden.ie,D24K528,N,Y,N,No subjects through Irish,Catholic,128.0,130.0,258,D24K528,53.27647289999999,-6.3819672
281,19658N,BISHOP SHANAHAN NS,Orwell Park,Templeogue,Dublin 6W,,Dublin,South Dublin County Council,14508449,Ann P Nolan,secretary@bishopshanahan.ie,D6WX093,N,N,N,No subjects through Irish,Catholic,209.0,263.0,472,D6WX093,53.2984278,-6.3184214
282,19660A,RUSH NS,Channel Road,Rush,Co. Dublin,,Dublin,Fingal County Council,18437095,Morgan Doran,office@rushnationalschool.ie,K56VK88,N,N,N,No subjects through Irish,Catholic,353.0,397.0,750,K56VK88,53.5206655,-6.1043338
283,19661C,ST GABRIELS NS,Ballyfermot Road,Ballyfermot,Dublin 10,,Dublin,Dublin City Council,16265958,Loretta Dunphy,office@stgabrielsprimary.ie,D10KD76,N,Y,N,No subjects through Irish,Catholic,133.0,137.0,270,D10KD76,53.3429717,-6.347309699999999
284,19662E,ST MICHAELS NS,Kylemore Road,Ballyfermot,Dublin 10,,Dublin,Dublin City Council,16263556,Maria Bourke,office@stmichaelsps.ie,D10YK84,N,Y,N,No subjects through Irish,Catholic,190.0,189.0,379,D10YK84,53.34337679999999,-6.3480633
285,19663G,ST RAPHAELS NS,Ballyfermot Road,Dublin 10,,,Dublin,Dublin City Council,16265953,Caroline Larkin,info@straphaels.ie,D10XW56,N,Y,N,No subjects through Irish,Catholic,173.0,189.0,362,D10XW56,53.3431876,-6.3477234
286,19668Q,ST FRANCIS SENIOR N S,Clonshaugh Drive,"Priorswood,",Dublin 17,,Dublin,Dublin City Council,18470656,Michael Kennedy,fransns.ias@eircom.net,D17F978,N,Y,N,No subjects through Irish,Catholic,114.0,105.0,219,D17F978,53.4038266,-6.205909
287,19669S,LADY OF GOOD COUNSEL BOYS SENIOR NS,Mourne Road,Drimnagh,Dublin 12,,Dublin,Dublin City Council,14551672,Aidan Knight,principal@olgcbnsdrimnagh.com,D12H213,N,Y,N,No subjects through Irish,Catholic,,146.0,146,D12H213,53.3303441,-6.3170366
288,19676P,SCOIL AINE NAOFA,Esker,Lucan,Co. Dublin,,Dublin,South Dublin County Council,16281972,Conor Reilly,secretary@scaine.ie,K78N8X6,N,N,N,No subjects through Irish,Catholic,282.0,312.0,594,K78N8X6,53.3490936,-6.4485997
289,19693P,MARY QUEEN OF IRELAND N S,TOBERBURR,CO DUBLIN,,,Dublin,Fingal County Council,18404629,Mrs.Aileen O'Donnell,toberburrns@eircom.net,K67E718,N,Y,N,No subjects through Irish,Catholic,43.0,52.0,95,K67E718,53.4525756,-6.2925495
290,19694R,SCOIL MHUIRE SIN,Blakestown,Mulhuddart,Dublin 15,,Dublin,Fingal County Council,18212288,Pauline Morley,admin@scoilmhuiresenior.ie,D15YK58,N,Y,N,No subjects through Irish,Catholic,123.0,138.0,261,D15YK58,53.39786789999999,-6.3999446
291,19702N,ST THOMAS JUNIOR N S,Fortunestown Road,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14525855,Suzanne O'Reilly,info@stthomasjns.ie,D24X577,N,Y,N,No subjects through Irish,Catholic,184.0,178.0,362,D24X577,53.278816,-6.4044189
292,19707A,ST RONANS N S,St Cuthbert's Road,Deansrath,Dublin 22,,Dublin,South Dublin County Council,14573653,Mary Fitzgerald,stronans28@yahoo.ie,D22C861,N,Y,N,No subjects through Irish,Catholic,197.0,207.0,404,D22C861,53.3232542,-6.426285399999999
